trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-52.4970087134239,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-91.12140689616486,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-112.16564133428618,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-126.88446752169739,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-79.62945930782602,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-67.619120347296,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-173.7306809133718,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,6,-49.85838047085247,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-121.86637721662638,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,3.366674300552215,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,3.449797105182734,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-8.374252149412921,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-11.623585588295494,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,4,-26.58796510371964,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-27.76002452989672,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-22.48585502059782,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,30.873907579689245,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-19.946275356141037,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,14,38.871507859840776,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,-26.86006497579816,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,13,11.691790808608431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,3,-13.14616443825575,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,12,-23.768362287445814,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,9,20.23502453257061,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,-20.905804490724968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,10,15.573567860645507,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,7,-50.99049455609448,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,3,31.93748564478512,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,19.650181799023283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,-17.6874552110025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
