trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-167.06345942642594,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9025}",25,0,-151.4208199751952,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-106.8315116774275,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",35,0,-74.82204273614312,"{0: 23, 1: 5, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",20,0,-115.32393572083672,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,0,-109.63211028456608,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",35,0,-154.95979039816217,"{0: 26, 1: 0, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,11,-89.70277112547555,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",25,0,-20.596825902780502,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",20,0,-113.06028174498238,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,3,-47.81932292345941,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",25,6,-115.02215534461966,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 3}",1
