trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-109.79116325419783,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-157.4397602605008,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-65.31078088685396,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-141.64661677841272,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-206.74234149250063,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-104.64380525795437,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-100.87693701964511,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-167.71146611790297,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-62.24261227147357,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,2,-55.937456761854115,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-198.45315299531686,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-55.16917011707183,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-110.25052880301816,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-226.8377486767844,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-68.45898107237223,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-44.45103769260008,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-145.39876570934507,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-246.3900836363098,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-225.9790288558825,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-73.0352651833432,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-79.1158599742855,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-14.850808319011477,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-141.5441671446943,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-170.85947003818669,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-101.36637056843387,"{0: 8, 1: 2, 2: 10, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-60.19202284056098,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-272.07738854045976,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 5}",0
8,True,"{'a': 0, 'e': 0}",25,0,-269.653129555374,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",20,0,-87.19211522780024,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,21,3.460511039134136,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
